nb requete;questions;couts;temps;date;requete_sql
1;quel est l'évolution du parc en Mars;0;51.31434392929077;02/10/2025 09:59;
1;Donne moi le CA data  de Mars;0;61.40433430671692;02/10/2025 10:01;
1;quel est le year to date ( YTD) du ca data au mois d'Avril;0;59.450273513793945;02/10/2025 10:03;
1;Donne mois le Ca souscriptions au mois de Mars;0;54.9724657535553;02/10/2025 10:05;
1;Quel est l'évolution Year To Date du ca des souscriptions  au mois de Mars;0;60.76390194892883;02/10/2025 10:08;
1;Donne moi le Ca des offres bundle du mois de mai;0;54.46916437149048;02/10/2025 10:15;
1;Quel est l'évolution du Chiffre d'affaire entre Janvier et Juin 2025;0;69.28951835632324;02/10/2025 10:18;
1;Quel est l'évolution Year To Date  du ca bundle au mois de Mars;0;76.58210301399231;02/10/2025 10:21;
1;Donne moi le Ca Pass internet du mois de Janvier;0;132.84853672981262;02/10/2025 10:26;
1;Quel est l'évolution du Chiffre d'affaire entre Janvier et Juin 2025;0;64.08282327651978;02/10/2025 10:33;
1;Donne moi le Top 10 des communes ayant généré le plus de CA WAVE en 2025;0;59.084158182144165;02/10/2025 10:35;
1;Donne moi le Top 10 des communes ayant généré le plus de CA WAVE en 2025;0;61.70423483848572;02/10/2025 10:38;
1;Quels sont les types d’offres les plus souscrites par les clients JEUNES;0;390.80038809776306;02/10/2025 10:46;
1;Quel est le volume total d’appels sortants vers Expresso en 2024 ;0;58.90535593032837;02/10/2025 10:49;
1;quelle est le volume d’appels par commune pour les clients Mass-Market;0;64.13988137245178;02/10/2025 10:51;
1;Quel est le volume total de données 5G consommées en mars 2025;0;54.05586838722229;02/10/2025 10:53;
1;Quel est le chiffre d’affaires total généré par les offres data en 2024 ;0;50.4958713054657;02/10/2025 10:55;
1;Quel est l'évolution du Chiffre d'affaire entre Janvier et Juin 2025;0;52.23175072669983;02/10/2025 10:58;
1;je veux la segmentation des recharges des clients par départements en 2025;0;50.651004791259766;02/10/2025 11:00;
1;donne moi le parc actif Orange du mois Janvier;0;60.366389989852905;02/10/2025 11:03;
1;quel est l'évolution du parc en Mars;0;51.555819272994995;02/10/2025 11:06;
1;Donne mois le Ca des souscriptions au mois de Mars;0;51.44014763832092;02/10/2025 11:08;
1;Donne mois le Ca souscriptions au mois de Mars;0;51.84324526786804;02/10/2025 11:10;
1;Quel est l'évolution Year To Date du montant des souscriptions  au mois de Mars;0;52.1415433883667;02/10/2025 11:14;
1;Donne moi le Ca des offres de type bundle;0;54.14926362037659;02/10/2025 11:16;
1;Quel est l'évolution Year To Date des offres de type bundle;0;51.73555064201355;02/10/2025 11:18;
1;Donne moi le Ca Pass internet du mois de Janvier;0;66.85754728317261;02/10/2025 11:20;
1;Donne moi le Ca des souscritions Pass internet du mois de Janvier;0;341.07197403907776;02/10/2025 11:27;
1;Donne moi le Ca des offres Pass internet du mois de Janvier;0;336.2858917713165;02/10/2025 11:33;
